id,iso_639_1,name,source
120,nv,Navajo; Navaho,https://datahub.io/core/language-codes
121,ny,Chichewa; Chewa; Nyanja,https://datahub.io/core/language-codes
122,oc,Occitan (post 1500); Provençal,https://datahub.io/core/language-codes
123,oj,Ojibwa,https://datahub.io/core/language-codes
124,om,Oromo,https://datahub.io/core/language-codes
125,or,Oriya,https://datahub.io/core/language-codes
126,os,Ossetian; Ossetic,https://datahub.io/core/language-codes
127,pa,Panjabi; Punjabi,https://datahub.io/core/language-codes
128,pi,Pali,https://datahub.io/core/language-codes
129,pl,Polish,https://datahub.io/core/language-codes
130,ps,Pushto; Pashto,https://datahub.io/core/language-codes
131,pt,Portuguese,https://datahub.io/core/language-codes
132,qu,Quechua,https://datahub.io/core/language-codes
133,rm,Romansh,https://datahub.io/core/language-codes
134,rn,Rundi,https://datahub.io/core/language-codes
135,ro,Romanian; Moldavian; Moldovan,https://datahub.io/core/language-codes
136,ru,Russian,https://datahub.io/core/language-codes
137,rw,Kinyarwanda,https://datahub.io/core/language-codes
138,sa,Sanskrit,https://datahub.io/core/language-codes
139,sc,Sardinian,https://datahub.io/core/language-codes
140,sd,Sindhi,https://datahub.io/core/language-codes
141,se,Northern Sami,https://datahub.io/core/language-codes
142,sg,Sango,https://datahub.io/core/language-codes
143,si,Sinhala; Sinhalese,https://datahub.io/core/language-codes
144,sk,Slovak,https://datahub.io/core/language-codes
145,sl,Slovenian,https://datahub.io/core/language-codes
146,sm,Samoan,https://datahub.io/core/language-codes
147,sn,Shona,https://datahub.io/core/language-codes
148,so,Somali,https://datahub.io/core/language-codes
149,sq,Albanian,https://datahub.io/core/language-codes
150,sr,Serbian,https://datahub.io/core/language-codes
151,ss,Swati,https://datahub.io/core/language-codes
152,st,"""Sotho",https://datahub.io/core/language-codes
153,su,Sundanese,https://datahub.io/core/language-codes
154,sv,Swedish,https://datahub.io/core/language-codes
155,sw,Swahili,https://datahub.io/core/language-codes
156,ta,Tamil,https://datahub.io/core/language-codes
157,te,Telugu,https://datahub.io/core/language-codes
158,tg,Tajik,https://datahub.io/core/language-codes
159,th,Thai,https://datahub.io/core/language-codes
160,ti,Tigrinya,https://datahub.io/core/language-codes
161,tk,Turkmen,https://datahub.io/core/language-codes
162,tl,Tagalog,https://datahub.io/core/language-codes
163,tn,Tswana,https://datahub.io/core/language-codes
164,to,Tonga (Tonga Islands),https://datahub.io/core/language-codes
165,tr,Turkish,https://datahub.io/core/language-codes
166,ts,Tsonga,https://datahub.io/core/language-codes
167,tt,Tatar,https://datahub.io/core/language-codes
168,tw,Twi,https://datahub.io/core/language-codes
169,ty,Tahitian,https://datahub.io/core/language-codes
170,ug,Uighur; Uyghur,https://datahub.io/core/language-codes
171,uk,Ukrainian,https://datahub.io/core/language-codes
172,ur,Urdu,https://datahub.io/core/language-codes
173,uz,Uzbek,https://datahub.io/core/language-codes
174,ve,Venda,https://datahub.io/core/language-codes
175,vi,Vietnamese,https://datahub.io/core/language-codes
176,vo,Volapük,https://datahub.io/core/language-codes
177,wa,Walloon,https://datahub.io/core/language-codes
178,wo,Wolof,https://datahub.io/core/language-codes
179,xh,Xhosa,https://datahub.io/core/language-codes
180,yi,Yiddish,https://datahub.io/core/language-codes
181,yo,Yoruba,https://datahub.io/core/language-codes
182,za,Zhuang; Chuang,https://datahub.io/core/language-codes
183,zh,Chinese,https://datahub.io/core/language-codes
184,zu,Zulu,https://datahub.io/core/language-codes
